text
"RT @CNNEE: Esta es la primera vez en la historia de Perú que se investiga a un presidente en funciones

https://t.co/JkE8rEanxv"
RT @justicierope: Los ministros de Pedro Castillo no saben ni dónde están parados. https://t.co/vB8LNGtsL7
"RT @Senmache: @KikesitoRPP @RPPNoticias Por mi parte, aceptaré lo que acuerde la mayoría de Congresistas. Es de ellos esa prerrogativa y es…"
RT @justicierope: Los ministros de Pedro Castillo no saben ni dónde están parados. https://t.co/vB8LNGtsL7
"RT @peru21noticias: 🚨Grover Mamani no llegó a ser director de Gobierno Interior, como se quería imponer desde el Ejecutivo. Sin embargo, el…"
"RT @CriollaR1: Amigo de @PedroCastilloTe sin título y que se hace pasar por profesor, gana S/. 80 MIL SOLES por consultorías en el minister…"
"RT @agciccia: 🔴🔵#ENCUESTA: ¿CREES QUE PEDRO CASTILLO ES EL LÍDER DE UNA ORGANIZACIÓN CRIMINAL?, TAL COMO LO SOSTIENE LA FISCALÍA DE LA NACI…"
RT @AaronRios90: @VLADIMIR_CERRON El desastroso gobierno de Pedro Castillo sepultará las esperanzas de la izquierda en futuras elecciones.
"RT @peru21noticias: 🚨Grover Mamani no llegó a ser director de Gobierno Interior, como se quería imponer desde el Ejecutivo. Sin embargo, el…"
"RT @justicierope: Estos cojudignos vigilan a Cineplanet, pero no vigilan a Pedro Castillo."
RT @SneiderLuz: Tacna...Valientes tacneños le gritan en sus caras peladas a Pedro Castillo y a Aníbal Torres en su dizque descentraliz. les…
RT @jorgevillenal: Pedro Castillo tiene la solución al problema de los combustibles… aquí lo explica muy fácil https://t.co/hxhtdnvz9x
"RT @SofiaLopezLl: Amigo de Pedro Castillo ahora gana S/80,000 por consultorías en el Mininter https://t.co/BePdViWyem vía @peru21noticias"
"RT @exitosape: 🔵🔴 El presidente de la República, Pedro Castillo, precisó que la falta de actualización de los datos hace que los recursos n…"
"RT @Matador000: Parece que la vice de Rodolfo, Marelen Castillo está enredada con sus tesis en sus estudios superiores.

Muy uribista la va…"
